查詢公司名稱,公司名稱,統一編號,公司狀況,資本總額(元),代表人姓名,公司所在地
佳世達科技股份有限公司,Qisda Corporation,12490306   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"19,274,469,580",桃園市龜山區山鶯路157號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
楷榮股份有限公司,"楷榮股份有限公司  Google搜尋  (出進口廠商英文名稱：KKY Co., Ltd.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",50864590   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"19,132,000,000",洪再興,臺北市松山區八德路四段85號3樓 地址所屬公司家數: 1  電子地圖 
好市多股份有限公司,"好市多股份有限公司  Google搜尋  (出進口廠商英文名稱：Costco Wholesale Taiwan, Inc.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",96972798   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"19,100,000,000",趙建華,高雄市前鎮區中華五路656號 地址所屬公司家數: 1  電子地圖 
世平興業股份有限公司,,05091774   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"18,888,900,000",臺北市南港區經貿二路189號8樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
世界先進積體電路股份有限公司,Vanguard International Semiconductor Corporation,84149358   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"18,676,444,720",新竹科學園區新竹縣園區三路123號 地址所屬公司家數: 1  電子地圖 ,國家科學及技術委員會新竹科學園區管理局
大彰化西南離岸風力發電股份有限公司,大彰化西南離岸風力發電股份有限公司  Google搜尋  (出進口廠商英文名稱：Greater Changhua Offshore Wind Farm SW Ltd.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,85122834   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"18,585,000,000",楊雅雯,彰化縣彰化市華山路37號11樓之2 地址所屬公司家數: 4  電子地圖 
旺宏電子股份有限公司,"旺宏電子股份有限公司  Google搜尋  (出進口廠商英文名稱：MACRONIX INTERNATIONAL CO., LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",22099548   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"65,500,000,000",吳敏求,新竹科學園區新竹市力行路16號 地址所屬公司家數: 2  電子地圖 
國際票券金融股份有限公司,International Bills Finance Corporation,12100285   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"18,480,000,000",臺北市中山區樂群三路128號8-10樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
板信商業銀行股份有限公司,,16093877   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"18,374,321,760",新北市板橋區縣民大道二段68號 地址所屬公司家數: 13  電子地圖 ,經濟部商業發展署
遠鼎投資股份有限公司,Yuan Ding Investment Corporation,22266828   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"18,338,262,300",臺北市大安區敦化南路二段207號34樓 地址所屬公司家數: 14  電子地圖 ,經濟部商業發展署
高雄銀行股份有限公司,"BANK OF KAOHSIUNG CO., LTD.",79854797   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"18,263,271,700",高雄市左營區博愛二路168號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
凱基證券股份有限公司,KGI Securities Co. Ltd.,23111915   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"18,174,785,440",臺北市中山區成功里明水路698號3樓、700號3樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
奇美實業股份有限公司,奇美實業股份有限公司  Google搜尋  (出進口廠商英文名稱：CHIMEI CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,68387705   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"19,600,000,000",許春華,臺南市仁德區中正路一段398號 地址所屬公司家數: 1  電子地圖 
頂安開發股份有限公司,,25133560   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"17,426,547,320",臺北市內湖區內湖路1段66號6樓 地址所屬公司家數: 11  電子地圖 ,經濟部商業發展署
鴻華先進科技股份有限公司,"Foxtron Vehicle Technologies Co., Ltd.",83167722   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"17,413,140,000",新北市新店區寶高路26號7樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
聯華實業控股股份有限公司,"聯華實業控股股份有限公司  Google搜尋  (出進口廠商英文名稱：LIEN HWA INDUSTRIAL CORP.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
113年06月18日 發文號11330094640變更名稱 （前名稱：聯華實業投資控股股份有限公司）",11996904   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"25,000,000,000",苗豐強,臺北市南港區南港路一段209號10樓 地址所屬公司家數: 11  電子地圖 
台塑新智能科技股份有限公司,Formosa Smart Energy Tech Corporation,90340178   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"17,000,000,000",臺北市內湖區石潭里南京東路六段380號9樓 地址所屬公司家數: 3  電子地圖 ,經濟部商業發展署
中國人造纖維股份有限公司,,07066907   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"16,859,057,450",高雄市大社區經建路8號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
福懋興業股份有限公司,,14001199   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"16,846,646,370",雲林縣斗六市榴中里石榴路317號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
大聯大控股股份有限公司,,27928328   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"16,790,568,330",臺北市南港區經貿二路189號22樓 地址所屬公司家數: 4  電子地圖 ,經濟部商業發展署
聯強國際股份有限公司,聯強國際股份有限公司  Google搜尋  (出進口廠商英文名稱：SYNNEX TECHNOLOGY INTERNATIONAL CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,23060541   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"24,000,000,000",苗豐強,臺北市南港區市民大道八段205號27樓 地址所屬公司家數: 1  電子地圖 
永豐金證券股份有限公司,SinoPac Securities Corporation,23113343   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"16,647,986,300",臺北市中正區重慶南路一段2號7樓、18樓及20樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
海龍二號風電股份有限公司,"海龍二號風電股份有限公司  Google搜尋  (出進口廠商英文名稱：Hai Long 2 Offshore Wind Power Co., Ltd.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",90275367   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"23,925,375,010",Tobias Charles Edmonds,彰化縣彰化市中山路一段375號12樓 地址所屬公司家數: 2  電子地圖 
永豐餘投資控股股份有限公司,YFY Inc.,85066002   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"16,603,714,950",高雄市大樹區久堂里久堂路14號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
