查詢公司名稱,公司名稱,統一編號,公司狀況,資本總額(元),代表人姓名,公司所在地
大成國際鋼鐵股份有限公司,大成國際鋼鐵股份有限公司  Google搜尋  (出進口廠商英文名稱：BRIGHTON-BEST INTERNATIONAL (TAIWAN) INC.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,28754606   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"20,000,000,000",謝麗雲,臺南市仁德區義林路122號B棟 地址所屬公司家數: 1  電子地圖 
長拓股份有限公司,,27564558   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,,廖龍星,臺北市中山區松江路301號8樓之1 地址所屬公司家數: 5  電子地圖 
和桐化學股份有限公司,,12526607   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,168,248,080",高雄市仁武區竹後里竹工二巷1號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
深耕開發股份有限公司,,84611899   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,126,088,730",臺北市中正區忠孝東路一段152號2樓 地址所屬公司家數: 3  電子地圖 ,經濟部商業發展署
泛喬股份有限公司,,16694999   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,034,401,460",高雄市大樹區學城路1段9號3樓 地址所屬公司家數: 14  電子地圖 ,經濟部商業發展署
台北大眾捷運股份有限公司,,84894989   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,000,000,000",臺北市中山區民安里15鄰中山北路二段48巷7號1、2、4、5、6、7樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
將來商業銀行股份有限公司,"NEXT COMMERCIAL BANK Co., LTD.",83504978   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,000,000,000",臺北市大安區敦化南路二段95號6、7、8、9樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
統正開發股份有限公司,PRESIDENT FAIR DEVELOPMENT CORP.,96978370   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,000,000,000",高雄市前鎮區中華五路789號 地址所屬公司家數: 4  電子地圖 ,經濟部商業發展署
中央存款保險股份有限公司,,01456219   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,000,000,000",臺北市中正區龍福里南海路3號11樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
樂天國際商業銀行股份有限公司,樂天國際商業銀行股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,83794245   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,000,000,000",王東和,臺北市中山區松江路433號11樓 地址所屬公司家數: 1  電子地圖 
力麗企業股份有限公司,,07663290   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"9,955,950,590",臺北市中山區松江路162號11樓 地址所屬公司家數: 21  電子地圖 ,經濟部商業發展署
櫻花建設股份有限公司,,22491640   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"9,942,521,510",臺中市西區民龍里臺灣大道二段239號4樓 地址所屬公司家數: 2  電子地圖 ,經濟部商業發展署
潤隆建設股份有限公司,"RUN LONG CONSTRUCTION CO., LTD.",34149369   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"9,922,574,930",臺北市中山區樂群二路267號8樓 地址所屬公司家數: 14  電子地圖 ,經濟部商業發展署
豐泰企業股份有限公司,"FENG TAY ENTERPRISES CO., LTD.",63400932   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"9,874,828,310",雲林縣斗六市科工八路52號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
哥本哈根基礎設施渢妙股份有限公司,哥本哈根基礎設施渢妙股份有限公司  Google搜尋  (出進口廠商英文名稱：CI Fengmiao Ltd.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,91103906   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"9,851,959,370",Thomas Wibe Poulsen,臺北市信義區忠孝東路五段68號26樓 地址所屬公司家數: 15  電子地圖 
國際中橡投資控股股份有限公司,"International CSRC Investment Holdings Co., Ltd.",04382114   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"9,847,336,250",臺北市中山區中山北路二段113號8樓 地址所屬公司家數: 5  電子地圖 ,經濟部商業發展署
台灣肥料股份有限公司,,03795101   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"9,800,000,000",臺北市南港區經貿一路170號17樓 地址所屬公司家數: 2  電子地圖 ,經濟部商業發展署
華瑋投資股份有限公司,,16441411   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"9,792,546,000",臺北市北投區光明路167號7樓之2 地址所屬公司家數: 9  電子地圖 ,經濟部商業發展署
欣光華股份有限公司,,28991447   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"9,725,000,000",臺北市中山區八德路二段232號5樓 地址所屬公司家數: 4  電子地圖 ,經濟部商業發展署
台灣土地開發股份有限公司,,03701104   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"9,609,436,000",臺北市士林區至善路2段11號1樓 地址所屬公司家數: 3  電子地圖 ,經濟部商業發展署
建大工業股份有限公司,"KENDA RUBBER IND. CO., LTD.",59619900   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"9,548,900,000",彰化縣員林市中山路一段146號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
聖世股份有限公司,SHINE GLOW INVESTMENTS LIMITED,83404181   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"9,533,668,650",臺北市中山區松江路192號5樓 地址所屬公司家數: 8  電子地圖 ,經濟部商業發展署
華旭投資股份有限公司,,16441480   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"9,512,783,000",臺北市北投區光明路167號7樓之2 地址所屬公司家數: 9  電子地圖 ,經濟部商業發展署
環球能源股份有限公司,環球能源股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,90543862   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,000,000,000",Manatchai Kongrakkawin,臺北市松山區敦化北路122號7樓 地址所屬公司家數: 10  電子地圖 
漢翔航空工業股份有限公司,Aerospace Industrial Development Corporation,97160544   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"9,418,671,010",臺中市西屯區西平里24鄰漢翔路1號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
華毓投資股份有限公司,,16434734   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"9,328,447,000",臺北市北投區光明路167號7樓之2 地址所屬公司家數: 9  電子地圖 ,經濟部商業發展署
台灣恩智浦半導體股份有限公司,台灣恩智浦半導體股份有限公司  Google搜尋  (出進口廠商英文名稱：NXP SEMICONDUCTORS TAIWAN LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,89002500   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"9,220,000,000",林群翔,高雄市楠梓區經五路10號 地址所屬公司家數: 1  電子地圖 
聯聚國際投資股份有限公司,聯聚國際投資股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,97168102   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"9,183,246,560",吳亦圭,臺北市內湖區基湖路37號12樓 地址所屬公司家數: 16  電子地圖 
佳格食品股份有限公司,STANDARD FOODS CORPORATION,22102473   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"9,150,895,910",臺北市內湖區瑞光路610號10樓 地址所屬公司家數: 2  電子地圖 ,經濟部商業發展署
力鵬企業股份有限公司,,33955322   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"9,100,712,420",臺北市中山區松江路162號6樓 地址所屬公司家數: 3  電子地圖 ,經濟部商業發展署
甲山林建設股份有限公司,,24300338   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"9,000,000,000",臺北市中山區朱馥里興安街60號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
台灣連線金融科技股份有限公司,台灣連線金融科技股份有限公司  Google搜尋  (出進口廠商英文名稱：LINE Financial Taiwan Limited) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,50869130   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"11,702,500,000",陳立人,臺北市內湖區瑞光路333號7樓 地址所屬公司家數: 3  電子地圖 
大成長城企業股份有限公司,,73008303   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,947,672,220",臺南市永康區蔦松里蔦松二街3號 地址所屬公司家數: 2  電子地圖 ,經濟部商業發展署
東聯化學股份有限公司,ORIENTAL UNION CHEMICAL CORPORATION,14057995   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,857,030,290",臺北市松山區復興北路101號13樓 地址所屬公司家數: 2  電子地圖 ,經濟部商業發展署
焱元投資股份有限公司,,24802992   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,761,800,000",臺北市大安區敦化南路二段77號15樓 地址所屬公司家數: 4  電子地圖 ,經濟部商業發展署
研華股份有限公司,"ADVANTECH CO., LTD.",05155853   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,641,671,250",臺北市內湖區瑞光路26巷20弄1號 地址所屬公司家數: 7  電子地圖 ,經濟部商業發展署
康舒科技股份有限公司,AcBel Polytech Inc.,12341051   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,586,371,250",臺北市松山區南京東路五段99號11樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
運鴻投資股份有限公司,Transglory Investment Corporation,27227466   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,525,800,000",高雄市前鎮區成功二路88號26樓 地址所屬公司家數: 15  電子地圖 ,經濟部商業發展署
李長榮化學工業股份有限公司,李長榮化學工業股份有限公司  Google搜尋  (出進口廠商英文名稱：LCY CHEMICAL CORP.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,39054405   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,000,000,000",洪再興,高雄市小港區中林路3號 地址所屬公司家數: 1  電子地圖 
鑽石生技投資股份有限公司,,53663724   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,518,000,000",臺北市中正區忠孝西路一段66號35樓 地址所屬公司家數: 6  電子地圖 ,經濟部商業發展署
裕民航運股份有限公司,U-Ming Marine Transport Corporation,47067419   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,450,557,120",臺北市大安區敦化南路二段207號2樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
微星科技股份有限公司,"Micro-Star International Co., Ltd.",22178368   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,448,561,990",新北市中和區立德街69號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
中鋼鋁業股份有限公司,C.S. Aluminium Corporation,96971313   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,402,511,900",高雄市小港區東林路17號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
大華建設股份有限公司,,11059409   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,399,880,000",臺北市內湖區成功路5段460號16樓 地址所屬公司家數: 3  電子地圖 ,經濟部商業發展署
德勤投資股份有限公司,Der Ching Investment Corporation,23116897   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,388,011,530",臺北市大安區敦化南路二段207號31樓 地址所屬公司家數: 6  電子地圖 ,經濟部商業發展署
南港輪胎股份有限公司,"NANKANG RUBBER TIRE CORP., LTD.",11520909   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,339,349,040",臺北市大安區仁愛路三段136號6樓608室 地址所屬公司家數: 3  電子地圖 ,經濟部商業發展署
宏達國際電子股份有限公司,HTC Corporation,16003518   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,335,339,850",桃園市桃園區興華路23號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
安聯人壽保險股份有限公司,"安聯人壽保險股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
096年05月17日 發文號09601109010變更名稱 （前名稱：統一安聯人壽保險股份有限公司）",89283591   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"28,867,000,000",陶奕馥 Sabine Teufel,臺北市信義區信義路五段100號5樓 地址所屬公司家數: 1  電子地圖 
朝隆投資股份有限公司,,24482029   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,280,457,340",臺北市士林區福林路203號 地址所屬公司家數: 8  電子地圖 ,經濟部商業發展署
太平洋崇光百貨股份有限公司,"太平洋崇光百貨股份有限公司  Google搜尋  (出進口廠商英文名稱：PACIFIC SOGO DEPARTMENT STORES CO., LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",21257316   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"15,000,000,000",黃晴雯,臺北市大安區忠孝東路4段45號地下1樓至地下3樓、1樓至13樓 地址所屬公司家數: 1  電子地圖 
伊頓飛瑞慕品股份有限公司,"伊頓飛瑞慕品股份有限公司  Google搜尋  (出進口廠商英文名稱：EATON PHOENIXTEC MMPL CO., LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」
097年12月24日 發文號09701320760變更名稱 （前名稱：慕品工業股份有限公司）",73735839   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,276,393,005",嚴慶和(YAM Keng Hoe),臺南市關廟區埤頭里保東路269之1號 地址所屬公司家數: 1  電子地圖 
台橡股份有限公司,台橡股份有限公司  Google搜尋  (出進口廠商英文名稱：TSRC CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,03553737   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"12,000,000,000",殷　琪,高雄市大社區興工路2號 地址所屬公司家數: 1  電子地圖 
益航股份有限公司,"FIRST STEAMSHIP COMPANY, LIMITED",03353007   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,247,760,670",臺北市大安區復興南路2段237號14樓 地址所屬公司家數: 4  電子地圖 ,經濟部商業發展署
欣陸投資控股股份有限公司,Continental Holdings Corporation,28993629   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,232,159,800",臺北市大安區敦化南路二段95號23樓 地址所屬公司家數: 2  電子地圖 ,經濟部商業發展署
樺成國際投資股份有限公司,,54719248   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,206,350,000",新北市中和區建康路10號6樓 地址所屬公司家數: 2  電子地圖 ,經濟部商業發展署
台元紡織股份有限公司,"台元紡織股份有限公司  Google搜尋  (出進口廠商英文名稱：TAI YUEN TEXTILE CO., LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",03516001   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,185,320,000",嚴陳莉蓮,臺北市大安區敦化南路二段2號8樓 地址所屬公司家數: 2  電子地圖 
奇力新電子股份有限公司,Chilisin Electronics Corp.,47006693   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,141,306,200",桃園市平鎮區南豐路270號 地址所屬公司家數: 3  電子地圖 ,經濟部商業發展署
信宇投資股份有限公司,,86687839   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"15,000,000,000",趙文嘉,臺北市信義區基隆路一段200號23樓 地址所屬公司家數: 8  電子地圖 
中鼎工程股份有限公司,CTCI CORPORATION,20817282   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,112,727,870",臺北市士林區中山北路六段89號 地址所屬公司家數: 13  電子地圖 ,經濟部商業發展署
中合電業股份有限公司,"Chung Ho Energy Integration Co., Ltd.",83715208   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,072,124,000",臺北市內湖區瑞光路362號8樓 地址所屬公司家數: 61  電子地圖 ,經濟部商業發展署
精金科技股份有限公司,HannsTouch Holdings Company,70750217   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,020,105,290",南部科學園區臺南市善化區北園一路7號 地址所屬公司家數: 1  電子地圖 ,國家科學及技術委員會南部科學園區管理局
太平洋流通投資股份有限公司,,70377128   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,020,000,000",臺北市大安區仁愛路4段64號7樓 地址所屬公司家數: 4  電子地圖 ,經濟部商業發展署
中央再保險股份有限公司,CENTRAL REINSURANCE CORPORATION,11081991   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,003,887,500",臺北市中山區南京東路二段53號11、12樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
星耀能源股份有限公司,,51559801   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,000,000,000",新竹縣湖口鄉光復北路20-1號4樓 地址所屬公司家數: 5  電子地圖 ,經濟部商業發展署
統流開發股份有限公司,,83271725   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"8,000,000,000",臺南市新市區王甲路11號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
三陽工業股份有限公司,,24004006   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,974,896,040",新竹縣湖口鄉鳳山村1鄰中華路3號 地址所屬公司家數: 2  電子地圖 ,經濟部商業發展署
理想大地股份有限公司,,16450993   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,970,000,000",花蓮縣壽豐鄉理想路1號 地址所屬公司家數: 5  電子地圖 ,經濟部商業發展署
台灣神隆股份有限公司,"台灣神隆股份有限公司  Google搜尋  (出進口廠商英文名稱：SCINOPHARM TAIWAN, LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",16130161   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,000,000,000",羅智先,南部科學園區臺南市善化區南科八路1號 地址所屬公司家數: 1  電子地圖 
中國信託綜合證券股份有限公司,CTBC Securities Co. Ltd.,23416851   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,904,542,390",臺北市南港區經貿二路168號3樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
嘉新水泥股份有限公司,CHIA HSIN CEMENT CORPORATION,11892801   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,902,474,590",臺北市中山區中山北路二段96號 地址所屬公司家數: 81  電子地圖 ,經濟部商業發展署
台灣農林股份有限公司,,07525207   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,900,000,000",新竹縣湖口鄉鳳山村1鄰中華路3號 地址所屬公司家數: 2  電子地圖 ,經濟部商業發展署
桃園航空城股份有限公司,,25187642   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,866,016,410",桃園市桃園區光興里縣府路1號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
利億國際投資股份有限公司,,16597005   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,837,000,000",新北市新店區復興里北新路三段207-1號15樓 地址所屬公司家數: 4  電子地圖 ,經濟部商業發展署
遠雄建設事業股份有限公司,,04673318   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,815,962,410",臺北市信義區基隆路一段200號16樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
沃旭東南大彰化控股股份有限公司,沃旭東南大彰化控股股份有限公司  Google搜尋  (出進口廠商英文名稱：Orsted Greater Changhua SE Holdings Ltd.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,83479176   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,800,240,000",Jack Maxwell Sawyer,臺北市信義區松智路1號19樓 地址所屬公司家數: 19  電子地圖 
台灣國際航電股份有限公司,台灣國際航電股份有限公司  Google搜尋  (出進口廠商英文名稱：GARMIN CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,23527104   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,794,884,000",高民環,新北市汐止區樟樹二路68號6樓 地址所屬公司家數: 1  電子地圖 
臺灣集中保管結算所股份有限公司,,23474232   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,783,070,080",臺北市松山區復興北路363號11樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
寶祥實業建設股份有限公司,,12029805   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,766,720,000",臺北市中山區新生北路3段1號3樓之6 地址所屬公司家數: 3  電子地圖 ,經濟部商業發展署
大亞電線電纜股份有限公司,"TA YA ELECTRIC WIRE & CABLE CO., LTD.",68035907   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,736,570,870",臺南市關廟區關廟里中山路二段249號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
上揚資產管理股份有限公司,,27238999   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,714,327,670",臺北市內湖區南京東路六段386號3樓之1 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
國泰綜合證券股份有限公司,Cathay Securities Corporation,27236155   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,700,000,000",臺北市大安區虎嘯里敦化南路二段218號3樓、4樓、7樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
力麒建設股份有限公司,"RICH DEVELOPMENT CO., LTD.",86690644   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,663,124,940",臺北市中山區吉林路99號8樓 地址所屬公司家數: 5  電子地圖 ,經濟部商業發展署
群光電子股份有限公司,"Chicony Electronics Co., Ltd.",20954200   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,600,531,720",新北市三重區光復路二段69號 地址所屬公司家數: 38  電子地圖 ,經濟部商業發展署
青石板投資股份有限公司,青石板投資股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,53917754   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"12,000,000,000",鄭鈞方,臺北市中山區樂群二路267號8樓之1 地址所屬公司家數: 9  電子地圖 
昇恒昌股份有限公司,EVER RICH D.F.S. CORPORATION,89400818   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,600,000,000",臺北市內湖區石潭里金莊路129號 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
亞普投資股份有限公司,亞普投資股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,13124428   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,500,000,000",楊中源 Paul Yang,臺北市中山區中山北路2段21號2樓 地址所屬公司家數: 2  電子地圖 
力成科技股份有限公司,力成科技股份有限公司  Google搜尋  (出進口廠商英文名稱：POWERTECH TECHNOLOGY INC.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,16082267   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,000,000,000",蔡篤恭,新竹縣湖口鄉新竹工業區大同路10號 地址所屬公司家數: 1  電子地圖 
日觀實業股份有限公司,,86754604   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,500,000,000",新北市新店區北新路三段219號16樓 地址所屬公司家數: 6  電子地圖 ,經濟部商業發展署
高品股份有限公司,,12859914   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,500,000,000",臺北市南港區經貿一路170號12樓 地址所屬公司家數: 40  電子地圖 ,經濟部商業發展署
遠通投資股份有限公司,"Yuan Tone Investment Co., Ltd.",70757366   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,466,436,290",臺北市大安區敦化南路2段207號34樓 地址所屬公司家數: 14  電子地圖 ,經濟部商業發展署
頎邦科技股份有限公司,頎邦科技股份有限公司  Google搜尋  (出進口廠商英文名稱：CHIPBOND TECHNOLOGY CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,16130009   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,000,000,000",吳非艱,新竹科學園區新竹市力行五路3號 地址所屬公司家數: 1  電子地圖 
家福股份有限公司,,54929960   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"3,000,000",桃園市中壢區五權里環西路69號1樓 地址所屬公司家數: 1  電子地圖 ,桃園市政府
華碩電腦股份有限公司,,23638777   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,427,602,800",臺北市北投區立德路15號1樓 地址所屬公司家數: 1  電子地圖 ,經濟部商業發展署
旭達投資股份有限公司,,80342922   訂閱,合併解散 (113年12月03日 經授商字 第11330202530號),,地址所屬公司家數: 0  電子地圖 ,經濟部商業發展署
華泰電子股份有限公司,華泰電子股份有限公司  Google搜尋  (出進口廠商英文名稱：ORIENT SEMICONDUCTOR ELECTRONICS LIMITED) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,89004161   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"20,000,000,000",董悦明,高雄市楠梓區中三街9號 地址所屬公司家數: 2  電子地圖 
富采投資控股股份有限公司,富采投資控股股份有限公司  Google搜尋  「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,83202930   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"15,000,000,000",彭双浪,新竹市東區自由路67號9樓之1 地址所屬公司家數: 16  電子地圖 
信義房屋股份有限公司,Sinyi Realty Inc.,22354940   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,368,465,000",臺北市信義區信義路五段100號 地址所屬公司家數: 21  電子地圖 ,經濟部商業發展署
太平洋電線電纜股份有限公司,"太平洋電線電纜股份有限公司  Google搜尋  (出進口廠商英文名稱：PACIFIC ELECTRIC WIRE & CABLE CO., LTD.) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」",03064800   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"18,000,000,000",苑竣唐,桃園市楊梅區快速路5段858號 地址所屬公司家數: 1  電子地圖 
長春投資股份有限公司,,23473986   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"7,347,840,000",臺北市中山區八德路2段308號11樓之1 地址所屬公司家數: 16  電子地圖 ,經濟部商業發展署
台灣汽電共生股份有限公司,台灣汽電共生股份有限公司  Google搜尋  (出進口廠商英文名稱：TAIWAN COGENERATION CORPORATION) 「國際貿易署廠商英文名稱查詢(限經營出進口或買賣業務者)」,86685142   訂閱,核准設立  「查詢最新營業狀況請至 財政部稅務入口網 」,"10,000,000,000",王振勇,臺北市內湖區瑞光路392號6樓 地址所屬公司家數: 5  電子地圖 
